H1_Start,H2_Start,Direction,H1_High,H1_Low,H2_Open,Sweep_Time,Return_Time,Worked
2018-01-24 08:00:00,2018-01-24 09:00:00,Down,8113.134857,8080.363302,8100.664265,2018-01-24 09:13:00,2018-01-24 09:56:00,True
2018-01-24 09:00:00,2018-01-24 10:00:00,Up,8125.315435,8094.573977,8101.244293,2018-01-24 10:04:00,N/A,False
2018-01-24 11:00:00,2018-01-24 12:00:00,Up,8056.002147,8012.790097,8030.190922,2018-01-24 12:07:00,2018-01-24 12:34:00,True
2018-01-24 12:00:00,2018-01-24 13:00:00,Down,8054.842092,7990.749051,8041.211445,2018-01-24 13:17:00,N/A,False
2018-01-24 13:00:00,2018-01-24 14:00:00,Up,8072.242917,8037.441266,8059.772326,2018-01-24 14:17:00,N/A,False
2018-01-24 17:00:00,2018-01-24 18:00:00,Down,8043.531555,8029.320881,8038.311308,2018-01-24 18:15:00,2018-01-24 18:20:00,True
2018-01-24 18:00:00,2018-01-24 19:00:00,Down,8052.231968,8033.09106,8049.621844,2018-01-24 19:00:00,2018-01-24 19:38:00,True
2018-01-24 19:00:00,2018-01-24 20:00:00,Up,8056.582174,8045.561652,8046.141679,2018-01-24 20:04:00,N/A,False
2018-01-24 22:00:00,2018-01-24 23:00:00,Up,8047.301734,8037.73128,8038.601321,2018-01-24 23:00:00,2018-01-24 23:20:00,True
2018-01-25 00:00:00,2018-01-25 01:00:00,Down,8044.981624,8039.471363,8040.341404,2018-01-25 01:04:00,2018-01-25 01:39:00,True
2018-01-25 05:00:00,2018-01-25 06:00:00,Down,8079.783275,8073.983,8076.593124,2018-01-25 06:04:00,N/A,False
2018-01-25 06:00:00,2018-01-25 07:00:00,Down,8088.483688,8075.723082,8083.553454,2018-01-25 07:08:00,N/A,False
2018-01-25 09:00:00,2018-01-25 10:00:00,Down,8058.902284,8025.260689,8052.521982,2018-01-25 10:03:00,2018-01-25 10:22:00,True
2018-01-25 10:00:00,2018-01-25 11:00:00,Down,8079.203247,8047.881762,8076.883137,2018-01-25 11:02:00,2018-01-25 11:21:00,True
2018-01-25 11:00:00,2018-01-25 12:00:00,Up,8084.133481,8054.552078,8055.712133,2018-01-25 12:00:00,2018-01-25 12:20:00,True
2018-01-25 12:00:00,2018-01-25 13:00:00,Up,8069.632793,8043.531555,8064.992573,2018-01-25 13:13:00,N/A,False
2018-01-25 13:00:00,2018-01-25 14:00:00,Up,8066.442642,8015.980248,8022.650565,2018-01-25 14:02:00,2018-01-25 14:20:00,True
2018-01-25 14:00:00,2018-01-25 15:00:00,Down,8037.73128,8006.699808,8032.511033,2018-01-25 15:02:00,N/A,False
2018-01-25 17:00:00,2018-01-25 18:00:00,Down,8054.842092,8044.111583,8053.102009,2018-01-25 18:01:00,N/A,False
2018-01-25 18:00:00,2018-01-25 19:00:00,Up,8058.612271,8053.102009,8053.392023,2018-01-25 19:00:00,2018-01-25 19:20:00,True
2018-01-25 19:00:00,2018-01-25 20:00:00,Down,8067.02267,8049.621844,8064.122532,2018-01-25 20:16:00,2018-01-25 20:43:00,True
2018-01-26 01:00:00,2018-01-26 02:00:00,Up,8067.02267,8061.512408,8064.70256,2018-01-26 02:01:00,2018-01-26 02:20:00,True
2018-01-26 03:00:00,2018-01-26 04:00:00,Down,8077.463165,8067.312683,8072.242917,2018-01-26 04:18:00,N/A,False
2018-01-26 04:00:00,2018-01-26 05:00:00,Down,8085.873564,8071.372876,8085.003523,2018-01-26 05:08:00,2018-01-26 05:20:00,True
2018-01-26 05:00:00,2018-01-26 06:00:00,Up,8087.90366,8076.30311,8082.103385,2018-01-26 06:13:00,N/A,False
2018-01-26 06:00:00,2018-01-26 07:00:00,Down,8082.973426,8069.632793,8076.593124,2018-01-26 07:10:00,2018-01-26 07:30:00,True
2018-01-26 08:00:00,2018-01-26 09:00:00,Down,8085.003523,8061.512408,8079.493261,2018-01-26 09:01:00,2018-01-26 09:20:00,True
2018-01-26 10:00:00,2018-01-26 11:00:00,Up,8104.724458,8089.353729,8093.123908,2018-01-26 11:06:00,2018-01-26 11:21:00,True
2018-01-26 11:00:00,2018-01-26 12:00:00,Down,8102.404348,8086.743605,8098.344155,2018-01-26 12:03:00,N/A,False
2018-01-26 12:00:00,2018-01-26 13:00:00,Down,8118.645118,8098.344155,8116.905036,2018-01-26 13:02:00,2018-01-26 13:26:00,True
2018-01-26 13:00:00,2018-01-26 14:00:00,Down,8125.605449,8107.914609,8119.805173,2018-01-26 14:05:00,N/A,False
2018-01-26 14:00:00,2018-01-26 15:00:00,Down,8152.576728,8117.485063,8152.286714,2018-01-26 15:00:00,N/A,False
2018-01-28 18:00:00,2018-01-28 19:00:00,Down,8174.907787,8166.497388,8172.587677,2018-01-28 19:14:00,2018-01-28 19:20:00,True
2018-01-28 20:00:00,2018-01-28 21:00:00,Up,8170.847595,8166.787402,8167.947457,2018-01-28 21:05:00,N/A,False
2018-01-28 23:00:00,2018-01-29 00:00:00,Up,8157.796976,8148.516535,8151.706687,2018-01-29 00:07:00,2018-01-29 00:46:00,True
2018-01-29 01:00:00,2018-01-29 02:00:00,Up,8156.056893,8149.966604,8152.286714,2018-01-29 02:03:00,N/A,False
2018-01-29 03:00:00,2018-01-29 04:00:00,Up,8144.746357,8124.15538,8125.025421,2018-01-29 04:00:00,2018-01-29 04:20:00,True
